rkpc,nrkpc,z0,z1,z2,z3,z4,z5,z6
15.8158,1.9942187309683204,7.330427979011124,7.291617455060187,7.2128585105207295,6.900493847676733,6.58552051138735,5.591648841067392,5.534475406448347
15.9159,1.997366678778117,7.324305095652099,7.2849583348416465,7.205745540942661,6.892178669510899,6.576413918552,5.577457330653357,5.522478141061085
16.016,2.0004998126093,7.318211554418164,7.278332817252713,7.198131767814325,6.8839015080883845,6.567351082884483,5.563324426345967,5.510538308079559
16.1161,2.003618294112705,7.3121519583590135,7.272477486716794,7.191336417147608,6.87566191140204,6.558331698586284,5.549248556854056,5.498655095245118
16.2162,2.0067222821844273,7.306122524583361,7.266906375589954,7.185134015284604,6.867459237953357,6.549355216877783,5.533182094832536,5.48682704311018
16.3163,2.0098119330294395,7.300121370352258,7.261362804516712,7.1786115260567165,6.859293246103829,6.540422081031079,5.51099381727205,5.475056350080895
16.4164,2.012887400223365,7.294155274655777,7.255851178715774,7.173020097126017,6.8511635276013285,6.5315300075054505,5.48882840696583,5.463340441902778
16.5165,2.0159488347724643,7.288215679388523,7.25036876229681,7.1669774475952535,6.843070120870074,6.522678923856209,5.466686750181281,5.451678999573241
16.6166,2.018996385171896,7.282307095510621,7.244915101980809,7.161098356450925,6.835275733149507,6.513868553697533,5.444567821321913,5.440071155889823
16.7167,2.0220301974623207,7.276427334989377,7.239489675978026,7.154213927099068,6.827634163590343,6.505099760117139,5.422473290169267,5.428517064164872
16.8168,2.0250504152848903,7.27057636315973,7.234091891836147,7.146100115849825,6.820027312566254,6.496370514506639,5.40040327677305,5.417014737849936
16.9169,2.0280571799346925,7.264754090338756,7.225371319363552,7.139520173127239,6.812455435741971,6.4876812577878145,5.3728255035063155,5.405564904053209
17.017,2.031050630412693,7.258960369545467,7.213825771046443,7.134677437718351,6.804917329120075,6.479032282658594,5.337075714778424,5.390033805895759
17.1171,2.0340309034762334,7.253194994201708,7.20754281395531,7.1277557519944015,6.797414358802542,6.47042078219243,5.30118414284555,5.36820876066702
17.2172,2.0369981336881207,7.24745769581481,7.201287854101758,7.120475216696524,6.789944352012921,6.461848042681922,5.2758248316137095,5.346399922667742
17.3173,2.0399524534643767,7.241748141642384,7.194431082563701,7.113696068137271,6.78250773896713,6.45331375240504,5.261312839529135,5.324603426418609
